VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee,pickup_hour,pickup_dayofweek,tip_rate,high_tip
2,2023-01-01 00:11:09,2023-01-01 00:16:48,2.0,0.87,1.0,N,142,143,1,7.2,1.0,0.5,2.44,0.0,1.0,14.64,2.5,0.0,0,6,0.33888888888888885,1
2,2023-01-01 00:33:21,2023-01-01 00:44:53,2.0,1.89,1.0,N,246,170,1,12.8,1.0,0.5,3.56,0.0,1.0,21.36,2.5,0.0,0,6,0.278125,1
2,2023-01-01 00:05:41,2023-01-01 00:13:52,1.0,1.63,1.0,N,229,140,1,10.7,1.0,0.5,2.83,0.0,1.0,18.53,2.5,0.0,0,6,0.2644859813084112,1
2,2023-01-01 00:14:10,2023-01-01 00:22:43,1.0,1.26,1.0,N,140,43,1,10.0,1.0,0.5,3.75,0.0,1.0,18.75,2.5,0.0,0,6,0.375,1
2,2023-01-01 00:26:33,2023-01-01 00:51:59,1.0,3.73,1.0,N,237,113,1,24.7,1.0,0.5,7.42,0.0,1.0,37.12,2.5,0.0,0,6,0.3004048582995951,1
2,2023-01-01 00:53:12,2023-01-01 01:02:24,1.0,1.33,1.0,N,113,68,1,10.7,1.0,0.5,3.14,0.0,1.0,18.84,2.5,0.0,0,6,0.29345794392523367,1
2,2023-01-01 00:51:15,2023-01-01 00:59:21,1.0,3.74,1.0,N,132,218,2,16.3,1.0,0.5,0.0,0.0,1.0,20.05,0.0,1.25,0,6,0.0,0
2,2023-01-01 00:03:09,2023-01-01 00:08:35,2.0,1.41,1.0,N,229,137,1,8.6,1.0,0.5,2.72,0.0,1.0,16.32,2.5,0.0,0,6,0.3162790697674419,1
2,2023-01-01 00:09:51,2023-01-01 00:18:59,2.0,0.97,1.0,Y,137,162,1,10.0,1.0,0.5,2.0,0.0,1.0,17.0,2.5,0.0,0,6,0.2,0
2,2023-01-01 00:21:17,2023-01-01 00:25:13,1.0,0.88,1.0,N,170,137,1,6.5,1.0,0.5,2.3,0.0,1.0,13.8,2.5,0.0,0,6,0.3538461538461538,1
